study,subject_nr,gender,age,race,condition,bp_ts,ba_ts,bp_rec,ba_rec,bp_tj,ba_tj,feel_ts,feel_tj,avoid_ts,avoid_tj,EQ_mean
1,158,Female,19,White,bp_tj,NA,0.25,0,0,0,0,4,4,1,1,2.272727272727273
1,159,Female,19,White,bp_tj,0,0,0,0,0,0,4,4,5,1,2.5
1,160,Female,20,White,ba_rec,1,0,1,0,1,1,4,2,3,3,2.782828282828283
1,161,Female,21,White,ba_tj,1,1,1,1,1,1,1,3,3,3,2.116161616161616
1,162,Female,19,White,bp_ts,0,0,0,0,0.17,0.17,5,1,3,1,2.505050505050505
1,163,Male,25,"1,2",bp_rec,0,0,0,0,0.17,0.17,4,3,3,3,2.898989898989899
1,164,Female,20,White,ba_ts,1,1,0,1,0.5,0.5,5,1,5,1,2.727272727272727
1,165,Female,19,Hispanic,bp_rec,0,1,0,1,0,0,5,6,4,5,3.4141414141414144
1,166,Female,21,Other,ba_tj,0.50,0.25,1,0,0,0,4,4,3,3,3.484848484848485
1,167,Female,20,White,ba_ts,0.50,0.50,0.5,0.5,0,0,2,5,1,5,3.2525252525252526
1,168,Female,18,White,bp_ts,1,1,1,1,1,1,1,1,1,1,2.8434343434343434
1,169,Female,18,White,ba_rec,0.25,0.25,0,0,1,1,4,3,4,1,1.7171717171717171
1,170,Female,18,White,bp_tj,1,0.25,2,0.25,1.45,0,5,5,1,1,2.0202020202020203
1,171,Female,19,White,ba_rec,0.25,0.25,0,0,0.17,0.17,6,5,5,5,2.8383838383838382
1,172,Female,20,White,ba_tj,1,1,1.17,1.17,1.17,1.17,5,5,1,1,3.04040404040404
1,173,Male,19,White,bp_tj,1,1,0.17,0.17,0.17,0.17,4,3,1,4,2.8434343434343434
1,174,Female,19,White,bp_ts,0.25,0.25,0.17,0.17,0.17,0.25,3,4,1,1,2.525252525252525
1,175,Female,19,White,bp_rec,0.25,0.25,0,0,0,0,3,5,1,1,1.888888888888889
1,176,Female,19,White,ba_ts,0,0,0,0,0.17,0.17,3,3,4,1,2.803030303030303
1,177,Female,21,White,ba_tj,0,0,0,0,0,0,4,2,5,1,2.5707070707070705
1,178,Male,19,White,bp_tj,1,1,1,1,1,1,3,2,1,1,2.8989898989898992
1,179,Male,19,White,ba_rec,1,0,1,1,0,0,4,3,1,1,2.51010101010101
1,180,Female,20,Hispanic,bp_ts, 1.17,0.25,1.17,0,1.17,0,3,2,1,3,3.6666666666666665
1,181,Male,18,White,ba_ts,0.50,0,0.25,0,0.5,0,3,2,5,2,2.5656565656565657
1,182,Male,18,White,bp_rec,0.25,0,0.17,0,0.17,0.17,5,1,3,1,2.4696969696969697
1,183,Female,20,White,bp_rec,0,0.50,1,0,0.25,0.5,5,4,3,3,2.994949494949495
1,184,Male,18,White,ba_rec,0.25,0.25,1,0.17,0.17,1,3,2,1,2,2.7121212121212124
1,185,Female,18,White,bp_tj,0.50,0.25,0,0.25,0.5,0,2,5,1,1,2.2323232323232323
1,186,Male,20,White,ba_tj,0.25,0,0,0,0,0,7,4,4,1,3.212121212121212
1,187,Female,NA,White,ba_ts,1,0,1,0,1,0,4,4,4,1,2.6818181818181817
1,188,Male,18,White,bp_ts,0.50,0.50,0.5,0.5,0.5,0.5,2,2,3,1,3.0555555555555554
1,189,Female,18,White,bp_rec,0.25,0,0,0,0.17,0.17,2,2,1,1,2.903030303030303
1,190,Female,18,White,ba_ts,1,0.25,1,0.5,1,0.5,5,5,3,3,2.388888888888889
1,191,Female,18,Hispanic,ba_tj,0,0.25,0,0,0,0,2,2,3,1,3.1010101010101008
1,192,Female,21,White,bp_ts,0.50,0,0,0.5,0,0,5,3,3,1,2.6242424242424245
1,193,Female,20,White,ba_rec,1,1,1,1,1.17,1.17,4,1,3,1,2.4797979797979797
1,194,Female,21,White,bp_tj,1,1,1,1,1,1,4,3,3,1,2.0757575757575757
1,195,Female,18,White,ba_rec,0.25,0,0.17,0.17,0.32,0.17,3,3,2,1,2.3636363636363638
1,196,Female,18,White,ba_tj,0.50,0,1,0,1,1,3,2,1,1,2.494949494949495
1,197,Male,20,White,bp_tj,1,0.50,1,0.5,1.17,0.17,4,5,1,5,2.8989898989898992
1,198,Female,20,American Indian/Alaskan Native,bp_rec,0,0,0,0,0.35,0,4,3,3,1,2.2222222222222223
1,199,Female,18,White,bp_ts,0,0,0,0,0,0,4,4,3,1,2.9393939393939394
1,200,Female,19,White,ba_ts,1,0.50,1,0.5,1,0.5,4,4,1,1,2.9242424242424243
1,201,Male,20,White,ba_ts,0.25,0,0.25,0,0.17,0,5,5,1,1,3.2373737373737375
1,202,Female,21,White,bp_rec,1,1,1,1,1,1,3,3,1,1,2.494949494949495
1,203,Male,18,Hispanic,bp_ts,0.50, 0.10,0.5,0.1,0.5,0.1,3,2,1,1,3.707070707070707
1,204,Female,21,White,ba_tj,0.25,0.25,0,0,0.17,0.17,3,3,1,1,2.2323232323232323
1,205,Female,21,White,ba_rec,0,0,0,0,0.25,0,5,2,5,1,2.702020202020202
1,206,Female,18,White,bp_tj,1,0.50,0,1,1,0,4,3,1,3,3.4949494949494953
1,207,Male,19,White,ba_ts,1,0.50,0.5,0.5,0.5,0.25,2,2,2,3,2.2676767676767677
1,208,Female,19,White,ba_tj,1,1,1,1,1,1,3,3,3,3,1.878787878787879
1,209,Female,18,White,bp_tj,0,0,0,0,0,0,4,4,1,1,2.409090909090909
